월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-07,서울,식품,692403,290,기존,5
2025-07,서울,생활용품,689128,386,기존,5
2025-07,서울,가전,296139,138,기존,5
2025-07,서울,패션,741715,391,신규,4
2025-07,서울,건강식품,527226,221,기존,5
2025-07,경기,식품,871685,471,기존,5
2025-07,경기,생활용품,743994,336,기존,5
2025-07,경기,가전,728841,358,기존,5
2025-07,경기,패션,458341,261,기존,4
2025-07,경기,건강식품,458512,205,기존,5
2025-07,부산,식품,636228,297,기존,5
2025-07,부산,생활용품,409029,180,기존,5
2025-07,부산,가전,579971,312,기존,4
2025-07,부산,패션,369510,153,기존,5
2025-07,부산,건강식품,508639,227,기존,5
2025-07,대구,식품,577927,321,신규,3
2025-07,대구,생활용품,638630,286,기존,5
2025-07,대구,가전,548513,277,기존,5
2025-07,대구,패션,314498,147,기존,5
2025-07,대구,건강식품,203233,100,신규,3
2025-07,광주,식품,584220,344,기존,4
2025-07,광주,생활용품,448339,222,기존,5
2025-07,광주,가전,421807,218,기존,5
2025-07,광주,패션,261037,115,신규,3
2025-07,광주,건강식품,448994,190,신규,3
