월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-09,서울,식품,740302,431,신규,4
2025-09,서울,생활용품,868961,488,기존,5
2025-09,서울,가전,840811,391,기존,5
2025-09,서울,패션,791455,381,기존,5
2025-09,서울,건강식품,502866,282,기존,5
2025-09,경기,식품,495887,222,신규,4
2025-09,경기,생활용품,753869,424,신규,4
2025-09,경기,가전,775142,373,신규,4
2025-09,경기,패션,1208511,603,기존,4
2025-09,경기,건강식품,359444,182,기존,5
2025-09,부산,식품,727091,360,신규,4
2025-09,부산,생활용품,313380,169,기존,4
2025-09,부산,가전,484793,202,기존,5
2025-09,부산,패션,901466,530,기존,4
2025-09,부산,건강식품,534312,244,기존,5
2025-09,대구,식품,446010,265,신규,4
2025-09,대구,생활용품,502235,219,기존,5
2025-09,대구,가전,264971,151,신규,4
2025-09,대구,패션,521631,243,기존,5
2025-09,대구,건강식품,102446,100,기존,5
2025-09,광주,식품,500946,248,신규,4
2025-09,광주,생활용품,312400,145,기존,5
2025-09,광주,가전,331989,189,기존,5
2025-09,광주,패션,439197,195,기존,4
2025-09,광주,건강식품,636550,314,기존,5
