월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-02,서울,식품,303181,158,기존,5
2025-02,서울,생활용품,166885,100,기존,5
2025-02,서울,가전,425636,251,기존,4
2025-02,서울,패션,731181,308,기존,5
2025-02,서울,건강식품,582281,272,기존,4
2025-02,경기,식품,143642,100,기존,5
2025-02,경기,생활용품,460733,254,기존,4
2025-02,경기,가전,664704,305,기존,5
2025-02,경기,패션,231288,109,신규,4
2025-02,경기,건강식품,466009,272,기존,5
2025-02,부산,식품,186731,108,기존,5
2025-02,부산,생활용품,226403,101,기존,5
2025-02,부산,가전,149669,100,기존,4
2025-02,부산,패션,693794,350,신규,4
2025-02,부산,건강식품,358933,155,기존,5
2025-02,대구,식품,201202,117,기존,5
2025-02,대구,생활용품,492760,227,기존,5
2025-02,대구,가전,349240,201,기존,5
2025-02,대구,패션,115763,100,기존,5
2025-02,대구,건강식품,179267,100,기존,4
2025-02,광주,식품,114689,100,기존,4
2025-02,광주,생활용품,155854,100,기존,5
2025-02,광주,가전,406131,238,기존,5
2025-02,광주,패션,268079,150,신규,3
2025-02,광주,건강식품,348255,163,기존,5
