월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-04,서울,식품,270129,148,신규,3
2025-04,서울,생활용품,327696,177,신규,4
2025-04,서울,가전,495010,247,기존,5
2025-04,서울,패션,262935,109,기존,5
2025-04,서울,건강식품,128178,100,신규,4
2025-04,경기,식품,268206,146,기존,5
2025-04,경기,생활용품,166138,100,기존,5
2025-04,경기,가전,312990,158,기존,5
2025-04,경기,패션,309525,149,신규,4
2025-04,경기,건강식품,140456,100,신규,3
2025-04,부산,식품,186210,100,기존,5
2025-04,부산,생활용품,458633,251,기존,5
2025-04,부산,가전,221847,130,기존,5
2025-04,부산,패션,213289,100,기존,5
2025-04,부산,건강식품,275173,153,기존,5
2025-04,대구,식품,235109,101,기존,5
2025-04,대구,생활용품,155638,100,신규,4
2025-04,대구,가전,408880,191,기존,5
2025-04,대구,패션,255072,102,신규,4
2025-04,대구,건강식품,106945,100,기존,5
2025-04,광주,식품,269676,143,기존,5
2025-04,광주,생활용품,98729,100,기존,4
2025-04,광주,가전,229210,100,기존,5
2025-04,광주,패션,276473,134,기존,4
2025-04,광주,건강식품,405001,176,신규,4
