월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-06,서울,식품,1281358,585,기존,5
2025-06,서울,생활용품,605256,251,신규,4
2025-06,서울,가전,458974,247,신규,4
2025-06,서울,패션,742246,365,신규,4
2025-06,서울,건강식품,427093,247,기존,5
2025-06,경기,식품,911343,433,신규,4
2025-06,경기,생활용품,793940,378,기존,5
2025-06,경기,가전,824068,452,기존,5
2025-06,경기,패션,349312,173,기존,5
2025-06,경기,건강식품,393819,183,기존,5
2025-06,부산,식품,352541,199,기존,5
2025-06,부산,생활용품,415567,167,기존,5
2025-06,부산,가전,167904,100,기존,5
2025-06,부산,패션,342712,140,기존,5
2025-06,부산,건강식품,263762,122,기존,5
2025-06,대구,식품,491451,220,신규,3
2025-06,대구,생활용품,502323,206,기존,5
2025-06,대구,가전,199903,110,기존,5
2025-06,대구,패션,251118,109,신규,3
2025-06,대구,건강식품,145370,100,신규,4
2025-06,광주,식품,467858,251,기존,4
2025-06,광주,생활용품,365991,215,기존,5
2025-06,광주,가전,218593,129,신규,3
2025-06,광주,패션,256175,131,기존,5
2025-06,광주,건강식품,533377,233,기존,5
