월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-08,서울,식품,755180,406,신규,4
2025-08,서울,생활용품,622987,261,신규,3
2025-08,서울,가전,897409,437,신규,3
2025-08,서울,패션,746740,315,신규,4
2025-08,서울,건강식품,623752,327,신규,3
2025-08,경기,식품,988989,582,신규,3
2025-08,경기,생활용품,694931,383,기존,5
2025-08,경기,가전,472341,262,기존,5
2025-08,경기,패션,457545,260,기존,5
2025-08,경기,건강식품,608773,250,기존,4
2025-08,부산,식품,1042776,460,신규,4
2025-08,부산,생활용품,220069,100,기존,4
2025-08,부산,가전,463446,226,기존,5
2025-08,부산,패션,428774,195,기존,5
2025-08,부산,건강식품,147314,100,기존,5
2025-08,대구,식품,722684,373,기존,4
2025-08,대구,생활용품,231978,117,기존,5
2025-08,대구,가전,257511,106,신규,4
2025-08,대구,패션,594602,335,기존,5
2025-08,대구,건강식품,333811,178,기존,5
2025-08,광주,식품,544282,276,기존,5
2025-08,광주,생활용품,315249,171,기존,4
2025-08,광주,가전,259643,152,기존,5
2025-08,광주,패션,118947,100,기존,5
2025-08,광주,건강식품,150115,100,신규,4
