월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-05,서울,식품,681983,397,기존,5
2025-05,서울,생활용품,732318,400,신규,4
2025-05,서울,가전,1083031,632,기존,5
2025-05,서울,패션,302636,164,기존,5
2025-05,서울,건강식품,418149,194,기존,5
2025-05,경기,식품,308089,149,기존,5
2025-05,경기,생활용품,290807,151,기존,5
2025-05,경기,가전,204875,100,신규,4
2025-05,경기,패션,642147,340,기존,5
2025-05,경기,건강식품,260555,130,기존,5
2025-05,부산,식품,621894,269,신규,4
2025-05,부산,생활용품,447734,233,신규,4
2025-05,부산,가전,311036,165,신규,3
2025-05,부산,패션,187707,100,기존,5
2025-05,부산,건강식품,127348,100,기존,5
2025-05,대구,식품,494159,266,기존,5
2025-05,대구,생활용품,552361,296,기존,5
2025-05,대구,가전,217287,120,신규,4
2025-05,대구,패션,481964,241,신규,3
2025-05,대구,건강식품,135717,100,기존,5
2025-05,광주,식품,362222,187,기존,5
2025-05,광주,생활용품,349365,195,기존,5
2025-05,광주,가전,431827,210,신규,4
2025-05,광주,패션,309626,139,기존,5
2025-05,광주,건강식품,397561,196,신규,4
