월,지역,상품군,매출액,거래건수,고객유형,고객만족도
2025-03,서울,식품,209319,111,기존,4
2025-03,서울,생활용품,456423,248,기존,4
2025-03,서울,가전,392124,171,기존,5
2025-03,서울,패션,521416,256,기존,4
2025-03,서울,건강식품,506702,212,기존,5
2025-03,경기,식품,147384,100,기존,5
2025-03,경기,생활용품,278872,133,기존,5
2025-03,경기,가전,216412,100,신규,4
2025-03,경기,패션,602086,275,기존,5
2025-03,경기,건강식품,471161,250,기존,4
2025-03,부산,식품,244116,144,기존,5
2025-03,부산,생활용품,499900,230,신규,4
2025-03,부산,가전,427133,183,기존,4
2025-03,부산,패션,380359,157,신규,4
2025-03,부산,건강식품,281422,118,기존,5
2025-03,대구,식품,380162,155,신규,4
2025-03,대구,생활용품,483095,243,기존,5
2025-03,대구,가전,536638,248,기존,4
2025-03,대구,패션,526297,241,기존,5
2025-03,대구,건강식품,112164,100,기존,5
2025-03,광주,식품,125104,100,신규,3
2025-03,광주,생활용품,229948,131,기존,5
2025-03,광주,가전,164959,100,기존,5
2025-03,광주,패션,472561,238,기존,5
2025-03,광주,건강식품,467208,196,기존,5
